time (minutes),A,B
16.0375,34624.6809499371,57707.2594549263
16.0383333333333,34624.6809499522,57707.2596114991
16.0391666666667,34624.6809499673,57707.2597680267
16.04,34624.6809499824,57707.2599245091
16.0408333333333,34624.6809499975,57707.2600809463
16.0416666666667,34624.6809500125,57707.2602373383
16.0425,34624.6809500276,57707.2603936851
16.0433333333333,34624.6809500427,57707.2605499869
16.0441666666667,34624.6809500578,57707.2607062434
16.045,34624.6809500728,57707.2608624549
16.0458333333333,34624.6809500879,57707.2610186212
16.0466666666667,34624.6809501029,57707.2611747425
16.0475,34624.6809501179,57707.2613308187
16.0483333333333,34624.6809501329,57707.2614868498
16.0491666666667,34624.680950148,57707.2616428358
16.05,34624.680950163,57707.2617987768
16.0508333333333,34624.680950178,57707.2619546728
16.0516666666667,34624.680950193,57707.2621105237
16.0525,34624.680950208,57707.2622663297
16.0533333333333,34624.6809502229,57707.2624220907
16.0541666666667,34624.6809502379,57707.2625778066
16.055,34624.6809502529,57707.2627334776
16.0558333333333,34624.6809502678,57707.2628891037
16.0566666666667,34624.6809502828,57707.2630446848
16.0575,34624.6809502977,57707.263200221
16.0583333333333,34624.6809503127,57707.2633557123
16.0591666666667,34624.6809503276,57707.2635111587
16.06,34624.6809503425,57707.2636665602
16.0608333333333,34624.6809503574,57707.2638219168
16.0616666666667,34624.6809503724,57707.2639772286
16.0625,34624.6809503873,57707.2641324955
16.0633333333333,34624.6809504022,57707.2642877176
16.0641666666667,34624.680950417,57707.2644428948
16.065,34624.6809504319,57707.2645980273
16.0658333333333,34624.6809504468,57707.2647531149
16.0666666666667,34624.6809504617,57707.2649081578
16.0675,34624.6809504765,57707.2650631559
16.0683333333333,34624.6809504914,57707.2652181092
16.0691666666667,34624.6809505062,57707.2653730178
16.07,34624.6809505211,57707.2655278816
16.0708333333333,34624.6809505359,57707.2656827008
16.0716666666667,34624.6809505507,57707.2658374752
16.0725,34624.6809505655,57707.2659922049
16.0733333333333,34624.6809505804,57707.26614689
16.0741666666667,34624.6809505952,57707.2663015304
16.075,34624.68095061,57707.2664561261
16.0758333333333,34624.6809506248,57707.2666106772
16.0766666666667,34624.6809506395,57707.2667651837
16.0775,34624.6809506543,57707.2669196455
16.0783333333333,34624.6809506691,57707.2670740628
16.0791666666667,34624.6809506838,57707.2672284354
16.08,34624.6809506986,57707.2673827635
16.0808333333333,34624.6809507134,57707.267537047
16.0816666666667,34624.6809507281,57707.267691286
16.0825,34624.6809507428,57707.2678454804
16.0833333333333,34624.6809507576,57707.2679996303
16.0841666666667,34624.6809507723,57707.2681537356
16.085,34624.680950787,57707.2683077965
16.0858333333333,34624.6809508017,57707.2684618129
16.0866666666667,34624.6809508164,57707.2686157848
16.0875,34624.6809508311,57707.2687697123
16.0883333333333,34624.6809508458,57707.2689235953
16.0891666666667,34624.6809508604,57707.2690774339
16.09,34624.6809508751,57707.269231228
16.0908333333333,34624.6809508898,57707.2693849778
16.0916666666667,34624.6809509044,57707.2695386831
16.0925,34624.6809509191,57707.2696923441
16.0933333333333,34624.6809509337,57707.2698459606
16.0941666666667,34624.6809509483,57707.2699995329
16.095,34624.680950963,57707.2701530608
16.0958333333333,34624.6809509776,57707.2703065443
16.0966666666667,34624.6809509922,57707.2704599835
16.0975,34624.6809510068,57707.2706133784
16.0983333333333,34624.6809510214,57707.2707667291
16.0991666666667,34624.680951036,57707.2709200354
16.1,34624.6809510506,57707.2710732975
16.1008333333333,34624.6809510651,57707.2712265153
16.1016666666667,34624.6809510797,57707.2713796888
16.1025,34624.6809510943,57707.2715328182
16.1033333333333,34624.6809511088,57707.2716859033
16.1041666666667,34624.6809511234,57707.2718389442
16.105,34624.6809511379,57707.2719919409
16.1058333333333,34624.6809511525,57707.2721448935
16.1066666666667,34624.680951167,57707.2722978019
16.1075,34624.6809511815,57707.2724506661
16.1083333333333,34624.680951196,57707.2726034861
16.1091666666667,34624.6809512105,57707.2727562621
16.11,34624.680951225,57707.2729089939
16.1108333333333,34624.6809512395,57707.2730616816
16.1116666666667,34624.680951254,57707.2732143253
16.1125,34624.6809512685,57707.2733669248
16.1133333333333,34624.680951283,57707.2735194803
16.1141666666667,34624.6809512974,57707.2736719918
16.115,34624.6809513119,57707.2738244592
16.1158333333333,34624.6809513264,57707.2739768825
16.1166666666667,34624.6809513408,57707.2741292619
16.1175,34624.6809513552,57707.2742815972
16.1183333333333,34624.6809513697,57707.2744338886
16.1191666666667,34624.6809513841,57707.274586136
16.12,34624.6809513985,57707.2747383394
16.1208333333333,34624.6809514129,57707.2748904989
16.1216666666667,34624.6809514273,57707.2750426144
16.1225,34624.6809514417,57707.275194686
16.1233333333333,34624.6809514561,57707.2753467137
16.1241666666667,34624.6809514705,57707.2754986975
16.125,34624.6809514849,57707.2756506374
16.1258333333333,34624.6809514992,57707.2758025335
16.1266666666667,34624.6809515136,57707.2759543857
16.1275,34624.680951528,57707.276106194
16.1283333333333,34624.6809515423,57707.2762579585
16.1291666666667,34624.6809515566,57707.2764096791
16.13,34624.680951571,57707.276561356
16.1308333333333,34624.6809515853,57707.276712989
16.1316666666667,34624.6809515996,57707.2768645783
16.1325,34624.6809516139,57707.2770161238
16.1333333333333,34624.6809516282,57707.2771676255
16.1341666666667,34624.6809516425,57707.2773190835
16.135,34624.6809516568,57707.2774704977
16.1358333333333,34624.6809516711,57707.2776218682
16.1366666666667,34624.6809516854,57707.277773195
16.1375,34624.6809516997,57707.2779244782
16.1383333333333,34624.6809517139,57707.2780757176
16.1391666666667,34624.6809517282,57707.2782269133
16.14,34624.6809517424,57707.2783780654
16.1408333333333,34624.6809517567,57707.2785291739
16.1416666666667,34624.6809517709,57707.2786802387
16.1425,34624.6809517852,57707.2788312599
16.1433333333333,34624.6809517994,57707.2789822374
16.1441666666667,34624.6809518136,57707.2791331714
16.145,34624.6809518278,57707.2792840618
16.1458333333333,34624.680951842,57707.2794349086
